Date : 2021-09-06 10:28:56
Directory : e:\github\makejun168\Front-end-Architecture
Total : 134 files,  11341 codes, 436 comments, 2365 blanks, all 14142 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\github\makejun168\Front-end-Architecture\CSS\README.md                            | Markdown   |         79 |          0 |         24 |        103 |
| e:\github\makejun168\Front-end-Architecture\CSS\SCSS\README.md                       | Markdown   |        421 |          0 |         75 |        496 |
| e:\github\makejun168\Front-end-Architecture\Git\README.md                            | Markdown   |        502 |          0 |         87 |        589 |
| e:\github\makejun168\Front-end-Architecture\Git\前端代码风格自动化.md                         | Markdown   |        192 |          0 |         28 |        220 |
| e:\github\makejun168\Front-end-Architecture\HTML\README.md                           | Markdown   |        758 |          0 |        131 |        889 |
| e:\github\makejun168\Front-end-Architecture\HTTP\HTTP 网络\http-server.js              | JavaScript |          8 |          0 |          3 |         11 |
| e:\github\makejun168\Front-end-Architecture\HTTP\HTTP 网络\tcp-client.js               | JavaScript |         23 |          2 |          8 |         33 |
| e:\github\makejun168\Front-end-Architecture\HTTP\HTTP 网络\tcp-server.js               | JavaScript |         15 |          3 |         10 |         28 |
| e:\github\makejun168\Front-end-Architecture\HTTP\HTTP 网络\udp-client.js               | JavaScript |          9 |          0 |          5 |         14 |
| e:\github\makejun168\Front-end-Architecture\HTTP\HTTP 网络\udp-server.js               | JavaScript |         11 |          0 |          6 |         17 |
| e:\github\makejun168\Front-end-Architecture\HTTP\HTTP实体数据.md                         | Markdown   |        100 |          0 |         44 |        144 |
| e:\github\makejun168\Front-end-Architecture\HTTP\URI和URL.md                          | Markdown   |         34 |          0 |         11 |         45 |
| e:\github\makejun168\Front-end-Architecture\HTTP\http历史.md                           | Markdown   |         32 |          0 |         11 |         43 |
| e:\github\makejun168\Front-end-Architecture\HTTP\http特点.md                           | Markdown   |         27 |          0 |         14 |         41 |
| e:\github\makejun168\Front-end-Architecture\HTTP\状态码.md                              | Markdown   |        104 |          0 |         51 |        155 |
| e:\github\makejun168\Front-end-Architecture\InterView\README.md                      | Markdown   |         95 |          0 |         21 |        116 |
| e:\github\makejun168\Front-end-Architecture\Javascript\ES6\解构.md                     | Markdown   |         97 |          0 |         32 |        129 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\EventLoop.md               | Markdown   |        253 |          0 |         37 |        290 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\README.md                  | Markdown   |      1,411 |          0 |        306 |      1,717 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\Web-API.md                 | Markdown   |         30 |          0 |          4 |         34 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\addEvent.js                | JavaScript |         41 |          0 |          4 |         45 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\example\ajax.ts            | TypeScript |         59 |          1 |         10 |         70 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\example\async-cache.ts     | TypeScript |         16 |          3 |          6 |         25 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\example\countDown.ts       | TypeScript |          0 |        137 |          1 |        138 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\example\measure.ts         | TypeScript |         31 |          0 |         10 |         41 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\example\routerHelper.ts    | TypeScript |          0 |          0 |          1 |          1 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\example\sample.js          | JavaScript |          4 |          1 |          1 |          6 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\作用域和闭包.md                  | Markdown   |          0 |          0 |          1 |          1 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\数组.md                      | Markdown   |        132 |          0 |         28 |        160 |
| e:\github\makejun168\Front-end-Architecture\Javascript\JS\深浅拷贝.md                    | Markdown   |        138 |          0 |         17 |        155 |
| e:\github\makejun168\Front-end-Architecture\Javascript\Promise规范以及应用\1.js            | JavaScript |        194 |          7 |         31 |        232 |
| e:\github\makejun168\Front-end-Architecture\Javascript\Promise规范以及应用\Promise.js      | JavaScript |        217 |         26 |         36 |        279 |
| e:\github\makejun168\Front-end-Architecture\Javascript\Promise规范以及应用\Promise.test.js | JavaScript |        200 |         42 |         26 |        268 |
| e:\github\makejun168\Front-end-Architecture\Javascript\Promise规范以及应用\test.js         | JavaScript |         37 |          5 |          6 |         48 |
| e:\github\makejun168\Front-end-Architecture\Javascript\RegExp\README.md              | Markdown   |         86 |          0 |         23 |        109 |
| e:\github\makejun168\Front-end-Architecture\Javascript\埋点\async-task-queue.ts        | TypeScript |         58 |          9 |         19 |         86 |
| e:\github\makejun168\Front-end-Architecture\Javascript\埋点\package.json               | JSON       |         14 |          0 |          1 |         15 |
| e:\github\makejun168\Front-end-Architecture\Javascript\埋点\track.ts                   | TypeScript |         24 |          6 |         10 |         40 |
| e:\github\makejun168\Front-end-Architecture\Javascript\手写面试题\Answer\Events\event.js  | JavaScript |         43 |          7 |         18 |         68 |
| e:\github\makejun168\Front-end-Architecture\Javascript\手写面试题\Answer\debounce.js      | JavaScript |         20 |          4 |          7 |         31 |
| e:\github\makejun168\Front-end-Architecture\Javascript\手写面试题\Answer\throttle.js      | JavaScript |         13 |          0 |          2 |         15 |
| e:\github\makejun168\Front-end-Architecture\Javascript\手写面试题\Code\index.js           | JavaScript |          1 |          0 |          0 |          1 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\a.js                      | JavaScript |          5 |          0 |          4 |          9 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\b.js                      | JavaScript |          5 |          0 |          4 |          9 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\main.js                   | JavaScript |          3 |          3 |          5 |         11 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\package.json          | JSON       |         22 |          0 |          1 |         23 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\rollup.config.js      | JavaScript |         17 |         16 |          2 |         35 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\server.js             | JavaScript |          7 |          0 |          1 |          8 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\a.js              | JavaScript |          4 |          0 |          2 |          6 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\amd\a.js          | JavaScript |          9 |          0 |          1 |         10 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\amd\index.html    | HTML       |         27 |          0 |          4 |         31 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\amd\rj.js         | JavaScript |         47 |         10 |         12 |         69 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\cmd\a.js          | JavaScript |          4 |          0 |          0 |          4 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\cmd\b.js          | JavaScript |          4 |          0 |          1 |          5 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\cmd\index.html    | HTML       |         16 |          0 |          1 |         17 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\cmd\main.js       | JavaScript |          7 |          0 |          1 |          8 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\cmd\sj.js         | JavaScript |         58 |         22 |         15 |         95 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\cmj\cmj.js        | JavaScript |         16 |          0 |          5 |         21 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\index.js          | JavaScript |          3 |          2 |          3 |          8 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\myA.js            | JavaScript |          4 |          0 |          3 |          7 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\工程化\src\myB.js            | JavaScript |          5 |          0 |          3 |          8 |
| e:\github\makejun168\Front-end-Architecture\Javascript\模块化\模块化发展.md                  | Markdown   |        378 |          0 |         95 |        473 |
| e:\github\makejun168\Front-end-Architecture\Javascript\设计模式\代理模式.js                  | JavaScript |         21 |          4 |          8 |         33 |
| e:\github\makejun168\Front-end-Architecture\Javascript\设计模式\命令模式.js                  | JavaScript |         25 |          2 |          8 |         35 |
| e:\github\makejun168\Front-end-Architecture\Javascript\设计模式\模版模式.js                  | JavaScript |         14 |          3 |          7 |         24 |
| e:\github\makejun168\Front-end-Architecture\Javascript\设计模式\装饰器模式.js                 | JavaScript |         26 |          3 |         11 |         40 |
| e:\github\makejun168\Front-end-Architecture\Javascript\设计模式\观察者.js                   | JavaScript |         36 |          1 |         10 |         47 |
| e:\github\makejun168\Front-end-Architecture\Javascript\设计模式\适配器模式.js                 | JavaScript |         15 |          5 |          6 |         26 |
| e:\github\makejun168\Front-end-Architecture\Javascript\设计模式\链式模式.js                  | JavaScript |         21 |          7 |          8 |         36 |
| e:\github\makejun168\Front-end-Architecture\Javascript\跨域\jsonp.js                   | JavaScript |         30 |          6 |          9 |         45 |
| e:\github\makejun168\Front-end-Architecture\Javascript\路由\history路由\history.js       | JavaScript |         30 |          1 |          8 |         39 |
| e:\github\makejun168\Front-end-Architecture\Javascript\路由\index.html                 | HTML       |          3 |          0 |          1 |          4 |
| e:\github\makejun168\Front-end-Architecture\Javascript\路由\哈希路由\index.js              | JavaScript |         31 |          0 |         10 |         41 |
| e:\github\makejun168\Front-end-Architecture\Javascript\造轮子\index.html                | HTML       |        168 |          0 |          6 |        174 |
| e:\github\makejun168\Front-end-Architecture\Javascript\造轮子\mock.json                 | JSON       |          0 |          0 |          1 |          1 |
| e:\github\makejun168\Front-end-Architecture\Javascript\闭包\闭包.md                      | Markdown   |         74 |          0 |         16 |         90 |
| e:\github\makejun168\Front-end-Architecture\Node\Express\README.md                   | Markdown   |          1 |          0 |          0 |          1 |
| e:\github\makejun168\Front-end-Architecture\Node\Koa\README.md                       | Markdown   |        110 |          0 |         11 |        121 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Buffer\Buffer.js               | JavaScript |          3 |         10 |         10 |         23 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Buffer\array.buffer.js         | JavaScript |          3 |          8 |         13 |         24 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\CommonJs\Extensions.js         | JavaScript |          9 |          0 |          5 |         14 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\CommonJs\index.js              | JavaScript |          3 |          0 |          2 |          5 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\CommonJs\module.js             | JavaScript |          1 |          0 |          1 |          2 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\CommonJs\require.js            | JavaScript |         22 |          1 |         10 |         33 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Even-Loop\1.js                 | JavaScript |         24 |          4 |          4 |         32 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Even-Loop\2.js                 | JavaScript |         15 |          2 |          4 |         21 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Even-Loop\event-loop.js        | JavaScript |         38 |         22 |         15 |         75 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Even-Loop\setTimeout.js        | JavaScript |          9 |          8 |          5 |         22 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Example\debug.js               | JavaScript |         27 |          2 |          6 |         35 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Example\fs.js                  | JavaScript |         20 |         10 |          6 |         36 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Example\http.js                | JavaScript |          8 |          0 |          3 |         11 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Example\path.js                | JavaScript |         10 |          4 |          6 |         20 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Global\global.js               | JavaScript |         11 |          1 |          5 |         17 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Stream\Duplex.js               | JavaScript |         21 |          0 |          7 |         28 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Stream\Readable.js             | JavaScript |         41 |          9 |         14 |         64 |
| e:\github\makejun168\Front-end-Architecture\Node\基础模块\Stream\Writeable.js            | JavaScript |         13 |          4 |         10 |         27 |
| e:\github\makejun168\Front-end-Architecture\Node\爬虫\image.handle.js                  | JavaScript |        153 |         11 |         32 |        196 |
| e:\github\makejun168\Front-end-Architecture\Node\爬虫\index.js                         | JavaScript |         43 |          1 |          7 |         51 |
| e:\github\makejun168\Front-end-Architecture\Node\爬虫\package.json                     | JSON       |         20 |          0 |          1 |         21 |
| e:\github\makejun168\Front-end-Architecture\OAuth\README.md                          | Markdown   |         22 |          0 |          9 |         31 |
| e:\github\makejun168\Front-end-Architecture\OAuth\github.md                          | Markdown   |          2 |          0 |          1 |          3 |
| e:\github\makejun168\Front-end-Architecture\Python\README.md                         | Markdown   |        284 |          0 |         94 |        378 |
| e:\github\makejun168\Front-end-Architecture\README.md                                | Markdown   |        141 |          0 |         21 |        162 |
| e:\github\makejun168\Front-end-Architecture\React\README.md                          | Markdown   |        220 |          0 |         41 |        261 |
| e:\github\makejun168\Front-end-Architecture\React\React 源码\FiberScheduler.md         | Markdown   |        113 |          0 |          5 |        118 |
| e:\github\makejun168\Front-end-Architecture\React\React 源码\README.md                 | Markdown   |        691 |          0 |        109 |        800 |
| e:\github\makejun168\Front-end-Architecture\React\ReactHooks.md                      | Markdown   |        248 |          0 |         53 |        301 |
| e:\github\makejun168\Front-end-Architecture\Study\README.md                          | Markdown   |         36 |          0 |          6 |         42 |
| e:\github\makejun168\Front-end-Architecture\TypeScript\README.md                     | Markdown   |         40 |          0 |          8 |         48 |
| e:\github\makejun168\Front-end-Architecture\Vue\README.md                            | Markdown   |        332 |          1 |         65 |        398 |
| e:\github\makejun168\Front-end-Architecture\Vue\advanced-vue.md                      | Markdown   |         12 |          0 |          2 |         14 |
| e:\github\makejun168\Front-end-Architecture\Work\README.md                           | Markdown   |        357 |          0 |         63 |        420 |
| e:\github\makejun168\Front-end-Architecture\package-lock.json                        | JSON       |         13 |          0 |          1 |         14 |
| e:\github\makejun168\Front-end-Architecture\package.json                             | JSON       |         25 |          0 |          1 |         26 |
| e:\github\makejun168\Front-end-Architecture\tsconfig.json                            | JSON       |          5 |          0 |          1 |          6 |
| e:\github\makejun168\Front-end-Architecture\数据库\Mongodb\README.md                    | Markdown   |        112 |          0 |         36 |        148 |
| e:\github\makejun168\Front-end-Architecture\数据库\Redis\README.md                      | Markdown   |         48 |          0 |         10 |         58 |
| e:\github\makejun168\Front-end-Architecture\构建工具\Webpack\README.md                   | Markdown   |        460 |          0 |         78 |        538 |
| e:\github\makejun168\Front-end-Architecture\构建工具\Webpack\webpack环境变量配置.md            | Markdown   |         54 |          0 |          8 |         62 |
| e:\github\makejun168\Front-end-Architecture\构建工具\gulp\README.md                      | Markdown   |          1 |          0 |          0 |          1 |
| e:\github\makejun168\Front-end-Architecture\算法\labuladong算法学习.md                     | Markdown   |        206 |          0 |         44 |        250 |
| e:\github\makejun168\Front-end-Architecture\算法\回溯.md                                 | Markdown   |        170 |          0 |         33 |        203 |
| e:\github\makejun168\Front-end-Architecture\算法\排序.md                                 | Markdown   |        148 |          0 |         20 |        168 |
| e:\github\makejun168\Front-end-Architecture\算法\算法导论.md                               | Markdown   |          7 |          0 |          4 |         11 |
| Total                                                                                |            |     11,341 |        436 |      2,365 |     14,142 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
